Zeit;Leistung_Total;Leistung_Max_Total;Leistung_NCS;Leistung_HPC;Leistung_MCS;Ladestrategie
0;0,0;0;0,0;0,0;0,0;p_max
5;0,0;0;0,0;0,0;0,0;p_max
10;100,0;100;100,0;0,0;0,0;p_max
15;100,0;100;100,0;0,0;0,0;p_max
20;100,0;100;100,0;0,0;0,0;p_max
25;100,0;100;100,0;0,0;0,0;p_max
30;100,0;100;100,0;0,0;0,0;p_max
35;100,0;100;100,0;0,0;0,0;p_max
40;200,0;200;200,0;0,0;0,0;p_max
45;200,0;200;200,0;0,0;0,0;p_max
50;300,0;300;300,0;0,0;0,0;p_max
55;300,0;300;300,0;0,0;0,0;p_max
60;300,0;300;300,0;0,0;0,0;p_max
65;300,0;300;300,0;0,0;0,0;p_max
70;300,0;300;300,0;0,0;0,0;p_max
75;300,0;300;300,0;0,0;0,0;p_max
80;300,0;300;300,0;0,0;0,0;p_max
85;300,0;300;300,0;0,0;0,0;p_max
90;300,0;300;300,0;0,0;0,0;p_max
95;300,0;300;300,0;0,0;0,0;p_max
100;300,0;300;300,0;0,0;0,0;p_max
105;300,0;300;300,0;0,0;0,0;p_max
110;300,0;300;300,0;0,0;0,0;p_max
115;300,0;300;300,0;0,0;0,0;p_max
120;300,0;300;300,0;0,0;0,0;p_max
125;300,0;300;300,0;0,0;0,0;p_max
130;300,0;300;300,0;0,0;0,0;p_max
135;300,0;300;300,0;0,0;0,0;p_max
140;300,0;300;300,0;0,0;0,0;p_max
145;300,0;300;300,0;0,0;0,0;p_max
150;300,0;300;300,0;0,0;0,0;p_max
155;300,0;300;300,0;0,0;0,0;p_max
160;300,0;300;300,0;0,0;0,0;p_max
165;300,0;300;300,0;0,0;0,0;p_max
170;300,0;300;300,0;0,0;0,0;p_max
175;300,0;300;300,0;0,0;0,0;p_max
180;300,0;300;300,0;0,0;0,0;p_max
185;300,0;300;300,0;0,0;0,0;p_max
190;300,0;300;300,0;0,0;0,0;p_max
195;300,0;300;300,0;0,0;0,0;p_max
200;300,0;300;300,0;0,0;0,0;p_max
205;300,0;300;300,0;0,0;0,0;p_max
